timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1448960613014,13654,Suggest Request,200,OK,Thread-Gruppe 1-294,text,false,328,80,80,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Arbeits,13654,0,0
1448960612803,13865,Suggest Request,200,OK,Thread-Gruppe 1-232,text,false,328,80,80,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Liebe%3A,13865,0,0
1448960613013,13656,Suggest Request,200,OK,Thread-Gruppe 1-293,text,false,328,80,80,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Arbeit,13656,0,0
1448960613035,13687,Suggest Request,200,OK,Thread-Gruppe 1-298,text,false,1946,77,77,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Folge,13687,0,0
1448960612804,13930,Suggest Request,200,OK,Thread-Gruppe 1-234,text,false,357,76,76,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Ass,13930,0,0
1448960613006,13728,Suggest Request,200,OK,Thread-Gruppe 1-292,text,false,299,76,76,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Arbe,13728,0,0
1448960613020,13714,Suggest Request,200,OK,Thread-Gruppe 1-297,text,false,298,76,76,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Arbeitsh,13714,0,0
1448960613126,13619,Suggest Request,200,OK,Thread-Gruppe 1-299,text,false,328,73,73,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kun,13619,0,0
1448960612810,13978,Suggest Request,200,OK,Thread-Gruppe 1-235,text,false,327,72,72,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Asse,13978,0,0
1448960612989,13800,Suggest Request,200,OK,Thread-Gruppe 1-285,text,false,357,72,72,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Musei,13800,0,0
1448960612796,13995,Suggest Request,200,OK,Thread-Gruppe 1-231,text,false,328,72,72,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Lie,13994,0,0
1448960613022,13795,Suggest Request,200,OK,Thread-Gruppe 1-289,text,false,2387,69,69,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Arbeitsheft,13795,0,0
1448960613025,13809,Suggest Request,200,OK,Thread-Gruppe 1-296,text,false,299,68,68,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Folg,13809,0,0
1448960612818,14034,Suggest Request,200,OK,Thread-Gruppe 1-239,text,false,2145,67,67,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Assessm,14034,0,0
1448960612832,14027,Suggest Request,200,OK,Thread-Gruppe 1-242,text,false,2145,67,67,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Assessment,14027,0,0
1448960612986,13877,Suggest Request,200,OK,Thread-Gruppe 1-286,text,false,329,67,67,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Mus,13877,0,0
1448960612998,13877,Suggest Request,200,OK,Thread-Gruppe 1-288,text,false,1846,64,64,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Museion,13877,0,0
1448960611756,15188,Suggest Request,200,OK,Thread-Gruppe 1-109,text,false,377,63,63,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Verk%C3%83%C2%B6,15188,0,0
1448960613025,13929,Suggest Request,200,OK,Thread-Gruppe 1-295,text,false,358,62,62,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Fol,13929,0,0
1448960612893,14086,Suggest Request,200,OK,Thread-Gruppe 1-258,text,false,358,61,61,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftm,14086,0,0
1448960612975,14015,Suggest Request,200,OK,Thread-Gruppe 1-283,text,false,358,60,60,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=esse,14015,0,0
1448960612935,14056,Suggest Request,200,OK,Thread-Gruppe 1-270,text,false,1809,60,60,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschinen-Reg,14056,0,0
1448960612953,14052,Suggest Request,200,OK,Thread-Gruppe 1-276,text,false,1723,58,58,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschinen-Regelu,14052,0,0
1448960612843,14173,Suggest Request,200,OK,Thread-Gruppe 1-246,text,false,358,57,57,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Domina,14173,0,0
1448960612920,14100,Suggest Request,200,OK,Thread-Gruppe 1-269,text,false,2182,56,56,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschinen,14100,0,0
1448960612913,14108,Suggest Request,200,OK,Thread-Gruppe 1-266,text,false,2202,56,56,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschin,14108,0,0
1448960612989,14067,Suggest Request,200,OK,Thread-Gruppe 1-284,text,false,299,54,54,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Muse,14067,0,0
1448960612815,14241,Suggest Request,200,OK,Thread-Gruppe 1-237,text,false,2382,54,54,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Asses,14241,0,0
1448960613035,14030,Suggest Request,200,OK,Thread-Gruppe 1-300,text,false,2053,52,52,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Folgen,14030,0,0
1448960612965,14262,Suggest Request,200,OK,Thread-Gruppe 1-278,text,false,358,51,51,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=ess,14262,0,0
1448960612782,14451,Suggest Request,200,OK,Thread-Gruppe 1-227,text,false,2358,50,50,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Erfindungen,14451,0,0
1448960612924,14318,Suggest Request,200,OK,Thread-Gruppe 1-267,text,false,2182,50,50,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschinen-,14318,0,0
1448960612960,14285,Suggest Request,200,OK,Thread-Gruppe 1-280,text,false,265,50,50,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Hel,14284,0,0
1448960612865,14380,Suggest Request,200,OK,Thread-Gruppe 1-250,text,false,358,50,50,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Societ,14380,0,0
1448960612796,14451,Suggest Request,200,OK,Thread-Gruppe 1-230,text,false,329,50,50,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Lieb,14450,0,0
1448960612900,14352,Suggest Request,200,OK,Thread-Gruppe 1-262,text,false,328,50,50,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmas,14351,0,0
1448960612965,14332,Suggest Request,200,OK,Thread-Gruppe 1-279,text,false,328,44,44,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Held,14332,0,0
1448960612911,14391,Suggest Request,200,OK,Thread-Gruppe 1-264,text,false,2202,44,44,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschi,14391,0,0
1448960612905,14440,Suggest Request,200,OK,Thread-Gruppe 1-263,text,false,2202,42,42,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmasch,14440,0,0
1448960612769,14599,Suggest Request,200,OK,Thread-Gruppe 1-221,text,false,299,41,41,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Erfin,14599,0,0
1448960612845,14525,Suggest Request,200,OK,Thread-Gruppe 1-244,text,false,328,40,40,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Dominan,14525,0,0
1448960612943,14449,Suggest Request,200,OK,Thread-Gruppe 1-273,text,false,1506,39,39,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschinen-Rege,14449,0,0
1448960591719,35799,Suggest Request,200,OK,Thread-Gruppe 1-211,text,false,328,38,38,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Krit,35591,0,0
1448960613022,27803,Suggest Request,200,OK,Thread-Gruppe 1-271,text,false,2389,37,37,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Arbeitshef,27803,0,0
1448960612905,27927,Suggest Request,200,OK,Thread-Gruppe 1-261,text,false,2203,36,36,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmasc,27927,0,0
1448960611756,29121,Suggest Request,200,OK,Thread-Gruppe 1-56,text,false,1508,35,35,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Verk%C3%83%C2%B6r,29121,0,0
1448960612861,28016,Suggest Request,200,OK,Thread-Gruppe 1-251,text,false,359,35,35,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Soci,28016,0,0
1448960612870,28244,Suggest Request,200,OK,Thread-Gruppe 1-254,text,false,329,33,33,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Societi,28244,0,0
1448960612875,28240,Suggest Request,200,OK,Thread-Gruppe 1-253,text,false,2677,33,33,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Societie,28240,0,0
1448960612915,28200,Suggest Request,200,OK,Thread-Gruppe 1-265,text,false,2203,33,33,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschine,28200,0,0
1448960612748,28369,Suggest Request,200,OK,Thread-Gruppe 1-217,text,false,1875,33,33,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Verk%C3%83%C2%B6rperu,28368,0,0
1448960612748,28370,Suggest Request,200,OK,Thread-Gruppe 1-215,text,false,2195,33,33,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Verk%C3%83%C2%B6rperun,28369,0,0
1448960612934,28184,Suggest Request,200,OK,Thread-Gruppe 1-272,text,false,1810,33,33,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschinen-Re,28183,0,0
1448960612954,28164,Suggest Request,200,OK,Thread-Gruppe 1-277,text,false,1724,33,33,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschinen-Regelun,28164,0,0
1448960609724,31394,Suggest Request,200,OK,Thread-Gruppe 1-36,text,false,1611,33,33,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Unabgeschlossenhei,31394,0,0
1448960612895,28224,Suggest Request,200,OK,Thread-Gruppe 1-259,text,false,329,32,32,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftma,28224,0,0
1448960612756,28363,Suggest Request,200,OK,Thread-Gruppe 1-218,text,false,2195,32,32,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Verk%C3%83%C2%B6rperung,28363,0,0
1448960613002,28121,Suggest Request,200,OK,Thread-Gruppe 1-291,text,false,330,32,32,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Arb,28121,0,0
1448960612744,28379,Suggest Request,200,OK,Thread-Gruppe 1-216,text,false,1800,32,32,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Verk%C3%83%C2%B6rper,28379,0,0
1448960612892,28232,Suggest Request,200,OK,Thread-Gruppe 1-260,text,false,329,32,32,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraft,28232,0,0
1448960612944,28181,Suggest Request,200,OK,Thread-Gruppe 1-274,text,false,1507,32,32,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Kraftmaschinen-Regel,28181,0,0
1448960609724,31401,Suggest Request,200,OK,Thread-Gruppe 1-12,text,false,1013,32,32,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Unabgeschlossenheit,31401,0,0
1448960612772,28353,Suggest Request,200,OK,Thread-Gruppe 1-226,text,false,1991,32,32,http://10.100.246.233:20100/solr/vlx/approx?json.wrf=vlbsuggest._results&wt=json&query=Erfindu,28353,0,0
